timesteps,loss,entropy
19300.0,4065.95361328125,1.9786373575528462
19400.0,4065.95361328125,1.9786373575528462
19500.0,4324.95166015625,1.97269502778848
19600.0,4324.95166015625,1.97269502778848
19700.0,4324.95166015625,1.97269502778848
19800.0,3525.63232421875,1.924111286799113
19900.0,3525.63232421875,1.924111286799113
20000.0,4144.767578125,1.9026273985703785
20100.0,4144.767578125,1.9026273985703785
20200.0,4144.767578125,1.9026273985703785
20300.0,3348.816650390625,1.8481376469135284
20400.0,3348.816650390625,1.8481376469135284
20500.0,2463.92041015625,1.8223918030659358
20600.0,2463.92041015625,1.8223918030659358
20700.0,2463.92041015625,1.8223918030659358
20800.0,3623.08837890625,1.8562774409850438
20900.0,3623.08837890625,1.8562774409850438
21000.0,4425.13134765625,1.8462769488493602
21100.0,4425.13134765625,1.8462769488493602
21200.0,4425.13134765625,1.8462769488493602
21300.0,4112.18896484375,1.786000336209933
21400.0,4112.18896484375,1.786000336209933
21500.0,4112.18896484375,1.786000336209933
21600.0,4580.29052734375,1.7588796615600586
21700.0,4580.29052734375,1.7588796615600586
21800.0,3745.322509765625,1.7287065982818604
21900.0,3745.322509765625,1.7287065982818604
22000.0,3745.322509765625,1.7287065982818604
22100.0,3552.10791015625,1.7352768580118816
22200.0,3552.10791015625,1.7352768580118816
22300.0,2862.8857421875,1.7439372887214024
22400.0,2862.8857421875,1.7439372887214024
22500.0,2862.8857421875,1.7439372887214024
22600.0,3672.765380859375,1.6978063533703487
22700.0,3672.765380859375,1.6978063533703487
22800.0,3531.250244140625,1.6502674371004105
22900.0,3531.250244140625,1.6502674371004105
23000.0,3531.250244140625,1.6502674371004105
23100.0,3591.9697265625,1.6885830760002136
23200.0,3591.9697265625,1.6885830760002136
23300.0,4918.498046875,1.7365491688251495
23400.0,4918.498046875,1.7365491688251495
23500.0,4918.498046875,1.7365491688251495
23600.0,3305.601318359375,1.7317196230093639
23700.0,3305.601318359375,1.7317196230093639
23800.0,3305.601318359375,1.7317196230093639
23900.0,3024.42431640625,1.777596190571785
24000.0,3024.42431640625,1.777596190571785
24100.0,2870.14306640625,1.7909699777762096
24200.0,2870.14306640625,1.7909699777762096
24300.0,2870.14306640625,1.7909699777762096
24400.0,2895.84912109375,1.7900482614835103
24500.0,2895.84912109375,1.7900482614835103
24600.0,2890.7568359375,1.7940822293361027
24700.0,2890.7568359375,1.7940822293361027
24800.0,2890.7568359375,1.7940822293361027
24900.0,4014.690673828125,1.7921139945586522
25000.0,4014.690673828125,1.7921139945586522
