timesteps,entropy,loss
7830.0,2.295633554458618,
7920.0,2.2918152809143066,
8010.0,2.294440507888794,
8100.0,2.292360305786133,-0.013400828465819359
8190.0,2.2933473587036133,
8280.0,2.292224168777466,
8370.0,2.2937865257263184,
8460.0,2.294172763824463,
8550.0,2.2931644916534424,
8640.0,2.2919437885284424,
8730.0,2.2911901473999023,
8820.0,2.293037176132202,
8910.0,2.2926080226898193,
9000.0,2.2947933673858643,-0.012506252154707909
9090.0,2.2927472591400146,
9180.0,2.291383981704712,
9270.0,2.2893803119659424,
9360.0,2.2931768894195557,
9450.0,2.2902181148529053,
9540.0,2.2898380756378174,
9630.0,2.2896828651428223,
9720.0,2.294670343399048,
9810.0,2.291074752807617,
9900.0,2.2918906211853027,-0.02060142159461975
9990.0,2.2932376861572266,
10080.0,2.2886219024658203,
10170.0,2.2890799045562744,
10260.0,2.2917232513427734,
10350.0,2.289926290512085,
10440.0,2.2939085960388184,
10530.0,2.2918355464935303,
10620.0,2.2910852432250977,
10710.0,2.2937510013580322,
10800.0,2.2908716201782227,-0.015268859453499317
10890.0,2.290217161178589,
10980.0,2.29119610786438,
11070.0,2.2895076274871826,
11160.0,2.287843704223633,
11250.0,2.2920775413513184,
11340.0,2.288285732269287,
11430.0,2.2924015522003174,
11520.0,2.2879726886749268,
11610.0,2.292120933532715,
11700.0,2.2891361713409424,-0.010360655374825
11790.0,2.2896156311035156,
11880.0,2.2899255752563477,
11970.0,2.289161205291748,
12060.0,2.290275812149048,
12150.0,2.289391040802002,
12240.0,2.2860207557678223,
12330.0,2.286370277404785,
12420.0,2.2874248027801514,
12510.0,2.284485340118408,
12600.0,2.2847228050231934,-0.013069736771285534
12690.0,2.287917375564575,
12780.0,2.291630744934082,
12870.0,2.28818941116333,
12960.0,2.2825822830200195,
13050.0,2.287278652191162,
13140.0,2.288316011428833,
13230.0,2.287360191345215,
13320.0,2.289646625518799,
13410.0,2.2875092029571533,
13500.0,2.290074348449707,-0.005658888723701239
13590.0,2.2877652645111084,
13680.0,2.287058115005493,
13770.0,2.287058115005493,
13860.0,2.287951946258545,
13950.0,2.286079168319702,
14040.0,2.2894961833953857,
14130.0,2.28543758392334,
14220.0,2.289551019668579,
14310.0,2.287365436553955,
14400.0,2.2865333557128906,-0.008567837066948414
14490.0,2.291360378265381,
14580.0,2.282646417617798,
14670.0,2.2864434719085693,
14760.0,2.2834370136260986,
14850.0,2.2892720699310303,
14940.0,2.291494369506836,
15030.0,2.287647247314453,
15120.0,2.289459466934204,
15210.0,2.289572238922119,
