timesteps,entropy
19500.0,2.0725085735321045
19600.0,2.0965919494628906
19700.0,2.051935911178589
19800.0,1.9776909351348877
19900.0,1.990772008895874
20000.0,1.8879667520523071
20100.0,2.124675750732422
20200.0,2.133030652999878
20300.0,2.1050949096679688
20400.0,1.863124132156372
20500.0,1.9663045406341553
20600.0,1.6473228931427002
20700.0,1.6798032522201538
20800.0,1.7749106884002686
20900.0,1.9119913578033447
21000.0,1.9718844890594482
21100.0,1.74991774559021
21200.0,1.6928399801254272
21300.0,1.7483766078948975
21400.0,1.9129209518432617
21500.0,1.7471816539764404
21600.0,2.0552916526794434
21700.0,1.8206243515014648
21800.0,1.8722763061523438
21900.0,1.9336917400360107
22000.0,2.0063788890838623
22100.0,1.7717628479003906
22200.0,1.8710613250732422
22300.0,1.9528799057006836
22400.0,1.7971187829971313
22500.0,1.7909663915634155
22600.0,1.9278055429458618
22700.0,1.7731621265411377
22800.0,1.8750499486923218
22900.0,1.945317268371582
23000.0,1.7824252843856812
23100.0,1.7447385787963867
23200.0,1.7921249866485596
23300.0,1.897740364074707
23400.0,1.671464204788208
23500.0,1.7491146326065063
23600.0,1.7317737340927124
23700.0,1.6327059268951416
23800.0,1.557919979095459
23900.0,1.5575059652328491
24000.0,1.5010653734207153
24100.0,1.7411613464355469
24200.0,1.6855299472808838
24300.0,1.552140712738037
24400.0,1.5403501987457275
24500.0,1.4127557277679443
24600.0,1.6309646368026733
24700.0,1.6074821949005127
24800.0,1.7334142923355103
24900.0,1.575031042098999
25000.0,1.650233507156372
